family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,3,0.3181818181818182,10,0.02282012210215194,3
Classification,3,0.3181818181818182,11,0.02116195096508218,3
Classification,3,0.3181818181818182,12,0.019647034537904094,3
Classification,3,0.3181818181818182,13,0.018320224278888245,3
Classification,3,0.3181818181818182,14,0.017850111075133564,3
Classification,3,0.3181818181818182,15,0.01621492244519083,3
Classification,3,0.3181818181818182,16,0.015589922035234698,3
Classification,3,0.3181818181818182,17,0.015034351879321213,3
Classification,3,0.3181818181818182,18,0.01391776960132808,3
Classification,3,0.3181818181818182,19,0.013645266268675302,3
Classification,3,0.3181818181818182,20,0.012856412033331467,3
Classification,3,0.3181818181818182,21,0.012283303079485644,3
Classification,3,0.3181818181818182,22,0.011686271175861641,3
Classification,3,0.3181818181818182,23,0.011188959322793573,3
Classification,3,0.3181818181818182,24,0.010805548205700309,3
Classification,3,0.3181818181818182,25,0.01009740805279905,3
Classification,3,0.3181818181818182,26,0.009861522782195292,3
Classification,3,0.3181818181818182,27,0.009413681315537136,3
Classification,3,0.3181818181818182,28,0.009202249434148489,3
Classification,3,0.3181818181818182,29,0.00874940364308639,3
Classification,3,0.3181818181818182,30,0.008502411024230007,3
Classification,3,0.3181818181818182,31,0.008148635155909587,3
Classification,3,0.3181818181818182,32,0.007879527732963612,3
Classification,3,0.3181818181818182,33,0.007538069329789426,3
Classification,3,0.3181818181818182,34,0.0073659549094610656,3
Classification,3,0.3181818181818182,35,0.007148268366166382,3
Classification,3,0.3181818181818182,36,0.00696808470923591,3
Classification,3,0.3181818181818182,37,0.0065916801580554974,3
Classification,3,0.3181818181818182,38,0.006713325137421673,3
Classification,3,0.3181818181818182,39,0.0064690289306457835,3
Classification,3,0.3181818181818182,40,0.006033629251982124,3
Classification,3,0.3181818181818182,41,0.005858515948557188,3
Classification,3,0.3181818181818182,42,0.005904228639161693,3
Classification,3,0.3181818181818182,43,0.005687937085803917,3
Classification,3,0.3181818181818182,44,0.005851316879634826,3
Classification,3,0.3181818181818182,45,0.0055408811127848,3
Classification,3,0.3181818181818182,46,0.004952515009966302,3
Classification,3,0.3181818181818182,47,0.006019100925393522,3
Classification,3,0.3181818181818182,48,0.004744551615171604,2
Classification,3,0.3181818181818182,49,0.0046557075775827995,2
Classification,3,0.3181818181818182,50,0.0045952099846687505,2
Classification,3,0.3181818181818182,51,0.00448080523341775,2
Classification,3,0.3181818181818182,52,0.004308482630266798,2
Classification,3,0.3181818181818182,53,0.004269693776408779,2
Classification,3,0.3181818181818182,54,0.004121316910528129,2
Classification,3,0.3181818181818182,55,0.00416440774183936,2
Classification,3,0.3181818181818182,56,0.003991552073251985,2
Classification,3,0.3181818181818182,57,0.0038837317868366727,2
Classification,3,0.3181818181818182,58,0.0038574628119940483,2
Classification,3,0.3181818181818182,59,0.003802450102372788,2
Classification,3,0.3181818181818182,60,0.0037463130321016016,2
Classification,3,0.3181818181818182,61,0.0036458076942000083,2
Classification,3,0.3181818181818182,62,0.003572280234770804,2
Classification,3,0.3181818181818182,63,0.0035493730731461478,2
Classification,3,0.3181818181818182,64,0.003384708690290017,2
Classification,3,0.3181818181818182,65,0.003385213343331719,2
Classification,3,0.3181818181818182,66,0.003285772827488602,2
Classification,3,0.3181818181818182,67,0.003253181014722303,2
Classification,3,0.3181818181818182,68,0.003195968214184025,2
Classification,3,0.3181818181818182,69,0.003144947059370819,2
Classification,3,0.3181818181818182,70,0.003068140636187461,2
Classification,3,0.3181818181818182,71,0.0030270098145483725,2
Classification,3,0.3181818181818182,72,0.003001026993344558,2
Classification,3,0.3181818181818182,73,0.0028908858669769834,2
Classification,3,0.3181818181818182,74,0.002837612858532749,2
Classification,3,0.3181818181818182,75,0.0027659396610111306,2
Classification,3,0.3181818181818182,76,0.0027459843655695303,2
Classification,3,0.3181818181818182,77,0.0027318917048200038,2
Classification,3,0.3181818181818182,78,0.002666913132632503,2
Classification,3,0.3181818181818182,79,0.002608622954709201,2
Classification,3,0.3181818181818182,80,0.0026032244795685684,2
Classification,4,0.4090909090909091,1,0.23237679879161102,3
Classification,4,0.4090909090909091,2,0.06672820166638928,3
Classification,4,0.4090909090909091,3,0.05372980827690791,3
Classification,4,0.4090909090909091,4,0.044059687401497995,3
Classification,4,0.4090909090909091,5,0.03712705307499101,3
Classification,4,0.4090909090909091,6,0.033708626489808186,3
Classification,4,0.4090909090909091,7,0.031112177745138057,3
Classification,4,0.4090909090909091,8,0.027844259005425837,3
Classification,4,0.4090909090909091,9,0.0241869256168738,3
Classification,4,0.4090909090909091,10,0.022154040239631977,3
Classification,4,0.4090909090909091,11,0.02052173950835296,3
Classification,4,0.4090909090909091,12,0.018794586973730126,3
Classification,4,0.4090909090909091,13,0.017913315253549413,3
Classification,4,0.4090909090909091,14,0.01668899060737833,3
Classification,4,0.4090909090909091,15,0.016010850667681407,3
Classification,4,0.4090909090909091,16,0.014865493202632077,3
